Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192604064941406,24.659506182275138,23.75446781268404,24.648441478964468,212818400
2015-01-05,23.51106071472168,24.042134423807454,23.32518584507189,23.96247328303275,257142000
2015-01-06,23.51326560974121,23.77216338083341,23.152577326433928,23.575223877533926,263188400
2015-01-07,23.84298324584961,23.942558834690647,23.610637954237987,23.721278247722207,160423600
2015-01-08,24.75908088684082,24.816614303203295,24.05319538405384,24.170475495010283,237458000
2015-01-09,24.785627365112305,25.06001469123294,24.387321820553232,24.93167160595989,214798000
2015-01-12,24.174903869628906,24.922831637875944,24.075328281845096,24.916193490455274,198603200
2015-01-13,24.389545440673828,24.960449733893075,24.099668425353194,24.657294735965763,268367600
2015-01-14,24.29660987854004,24.449292340286082,24.008944431257838,24.12843615451797,195826400
2015-01-15,23.637189865112305,24.354138422379428,23.601785852626346,24.340862128726783,240056000
2015-01-16,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200
2015-01-20,24.057615280151367,24.112935402966933,23.56637231943135,23.862887367369424,199599600
2015-01-21,24.24128532409668,24.57541774452879,23.95804479734744,24.108515641336837,194303600
2015-01-22,24.871938705444336,24.887428279247118,24.278906655479844,24.39839837691712,215185600
2015-01-23,25.00027847290039,25.170663761693863,24.679420647171945,24.849807624202118,185859200
2015-01-26,25.026836395263672,25.305650433694787,24.960453225890493,25.16845584914426,222460000
2015-01-27,24.150558471679688,24.889636367580913,24.12621747674591,24.876358386921034,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.310264587402344,26.374436166209705,25.571186479963302,25.739360214484762,337745600
2015-01-30,25.925230026245117,26.55366597735562,25.856631907802715,26.19961743530487,334982000
2015-02-02,26.25051498413086,26.3700067016786,25.68625050976509,26.122173528901243,250956400
2015-02-03,26.254940032958984,26.352302335998324,26.02480803700248,26.221747609729693,207662800
2015-02-04,26.4563045501709,26.666522105734966,26.179703836194584,26.221747684954753,280598800
2015-02-05,26.645139694213867,26.709564529534767,26.491852958626215,26.662910718347398,168984800
2015-02-06,26.42076301574707,26.714006091744032,26.314128399521028,26.662909949721197,174826400
2015-02-09,26.59625816345215,26.622915539684453,26.309679504659737,26.336338575791345,155559200
2015-02-10,27.10721778869629,27.1360988800661,26.694013099240877,26.69623341788492,248034000
2015-02-11,27.742576599121094,27.75146295792522,27.213850962022807,27.27383176532612,294247200
2015-02-12,28.093582153320312,28.32018008177655,27.895865316767186,28.004720253825706,297898000
2015-02-13,28.2313175201416,28.27574762139696,27.913637380956622,28.27574762139696,217088800
2015-02-17,28.39793586730957,28.631198160176517,28.195774987504898,28.322402653515553,252609600
2015-02-18,28.595643997192383,28.60897268589637,28.313507657029223,28.353495418040563,179566800
2015-02-19,28.535661697387695,28.664511338711634,28.50900431980301,28.542326041783866,149449600
2015-02-20,28.768922805786133,28.768922805786133,28.44680040985868,28.57342633827766,195793600
2015-02-23,29.546464920043945,29.546464920043945,28.804471802520936,28.884447331881436,283896400
2015-02-24,29.362085342407227,29.67976723388688,29.1399314061949,29.533144822434732,276912400
2015-02-25,28.611188888549805,29.235443968047832,28.46901057982743,29.22655591699116,298846800
2015-02-26,28.973312377929688,29.073280958926343,28.12690652779856,28.611200421862183,365150000
2015-02-27,28.537885665893555,29.006630434896266,28.4890115466763,28.880001110615524,248059200
2015-03-02,28.677841186523438,28.942204824251785,28.502341127333437,28.713386617938777,192386800
2015-03-03,28.737829208374023,28.77337464662942,28.45569280064609,28.648969002535093,151265200
2015-03-04,28.555660247802734,28.782258170449772,28.506789509388113,28.680069276765426,126665200
2015-03-05,28.082473754882812,28.602313038496664,27.93807338891241,28.564547284367382,226068400
2015-03-06,28.124675750732422,28.74004114058892,28.049144258829877,28.524551645020985,291368400
2015-03-09,28.244644165039062,28.784479856085543,27.78256368790519,28.42681027882651,354114000
2015-03-10,27.660377502441406,28.26241425789635,27.502648465689692,28.08247017418936,275426400
2015-03-11,27.156082153320312,27.718131039929048,27.127202767233783,27.713688709338477,275756000
2015-03-12,27.64704704284668,27.74701729622156,27.020573228981956,27.171637920724486,193450800
2015-03-13,27.45599365234375,27.858093275490027,27.231619482991277,27.635939424321684,207309200
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700014,143497200
2015-03-17,28.222431182861328,28.284634002627094,27.91363740266719,27.969175876729444,204092400
2015-03-18,28.540102005004883,28.69338868574217,28.073579314164338,28.213535612946753,261083600
2015-03-19,28.324617385864258,28.71338664410161,28.30240233865916,28.602309713176652,183238000
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400
2015-03-23,28.26019287109375,28.402371208638087,28.106906162375846,28.240199836860707,150838800
2015-03-24,28.144678115844727,28.444583846778304,28.11579702412687,28.264641425158008,131369200
2015-03-25,27.409343719482422,28.17355357044147,27.409343719482422,28.11135075836797,206620800
2015-03-26,27.60039710998535,27.74257545518956,27.236064888537122,27.27161032228796,190291600
2015-03-27,27.380462646484375,27.70258505848325,27.304931149287167,27.67370566747833,158184800
2015-03-30,28.073579788208008,28.080244131848396,27.547074606928014,27.558182976261453,188398800
2015-03-31,27.642601013183594,28.10023735860415,27.627050312947922,28.01137548801493,168362400
2015-04-01,27.60262107849121,27.79589557467753,27.347143763734493,27.729248729123714,162485600
2015-04-02,27.84032440185547,27.89364085892032,27.589291125563008,27.77589957273979,128880400
2015-04-06,28.291292190551758,28.326837619766778,27.620388315662122,27.651489718775586,148776000
2015-04-07,27.993608474731445,28.46235156172454,27.986944130091178,28.355718657681365,140049200
2015-04-08,27.90252113342285,28.08024487808575,27.762564828557807,27.9580595917676,149316800
2015-04-09,28.115798950195312,28.120242977640842,27.693707867462628,27.95806987387628,129936000
2015-04-10,28.235755920410156,28.260192981167595,27.82699362210292,27.98027863651839,160752000
2015-04-13,28.180217742919922,28.562324360961306,28.1269012893116,28.51789087563862,145460400
2015-04-14,28.05803680419922,28.277968679310423,27.97139692324936,28.213543848237514,102098400
2015-04-15,28.164669036865234,28.24242255699414,27.993611292581647,28.082473184828803,115881600
2015-04-16,28.029146194458008,28.23574930845471,28.01581750803857,28.053583249493034,113476000
2015-04-17,27.71369171142578,28.022485415343912,27.64926689403936,27.891415462484826,207828000
2015-04-20,28.34682846069336,28.46234770691129,27.806994584251576,27.895856455518796,188217200
2015-04-21,28.193552017211914,28.480129054206348,28.14023386134807,28.457915698279347,129740400
2015-04-22,28.573429107666016,28.628967574063935,28.062476233744846,28.211318916915396,150618000
2015-04-23,28.806686401367188,28.973301771970313,28.466791316520684,28.502336742467634,183083600
2015-04-24,28.94220733642578,29.019962550671096,28.70894508348904,28.988861142932812,178103600
2015-04-27,29.46871566772461,29.57535198830014,29.13548479297552,29.39318414966676,387816800
2015-04-28,29.004411697387695,29.888583241459457,28.784481513019248,29.8708139130615,475696000
2015-04-29,28.5778751373291,29.23322840880269,28.502343631285193,28.91554998584197,253544400
2015-04-30,27.80255889892578,28.57787547888214,27.675931252944945,28.57787547888214,332781600
2015-05-01,28.646739959716797,28.908883280787258,27.835879715578056,28.013601789062115,234050400
2015-05-04,28.591205596923828,29.006635685468652,28.493457340795633,28.768929390811504,203953200
2015-05-05,27.946956634521484,28.53566301536573,27.942512608119188,28.46901617852702,197085600
2015-05-06,27.77145767211914,28.15800495791627,27.404903422444445,28.11579517734717,288564000
2015-05-07,27.94322967529297,28.126156702399538,27.66660698885533,27.833918356403263,175763600
2015-05-08,28.469701766967773,28.469701766967773,28.132847750663366,28.260004316794557,222201600
2015-05-11,28.179697036743164,28.456318032718876,28.02577002755684,28.41839452963739,168143200
2015-05-12,28.07930564880371,28.304617032312276,27.845069087437746,28.01907261211921,192640000
2015-05-13,28.110538482666016,28.373775078379587,28.079307166393143,28.14176979893889,138776800
2015-05-14,28.76639747619629,28.76639747619629,28.367082551285613,28.422853001376712,180814000
2015-05-15,28.726247787475586,28.886866975073346,28.601322509112556,28.793173016301076,152832000
2015-05-18,29.04302215576172,29.161255245868418,28.634782024202263,28.63924461362847,203531600
2015-05-19,29.01624870300293,29.196944399824076,28.920321767728332,29.154558317071896,178532800
2015-05-20,29.01402473449707,29.219259627089205,28.85340553091038,29.000640368191327,145819600
2015-05-21,29.31072235107422,29.36426321724016,28.962715230892304,29.016256097058246,158921600
2015-05-22,29.5672607421875,29.66318768776386,29.312947622321087,29.357566706193726,182384000
2015-05-26,28.91585922241211,29.649800184525905,28.804318332458095,29.58064537738767,282790400
2015-05-27,29.45572853088379,29.50480681445694,29.011797789416416,29.07649003378511,183332800
2015-05-28,29.39772605895996,29.435649565163274,29.246032034146715,29.415573015518973,122933200
2015-05-29,29.06310272216797,29.324108074389464,28.978330531136447,29.275029795787933,203538000
2015-06-01,29.12110137939453,29.310722301615094,29.011793458266705,29.06310132744831,128451200
2015-06-02,28.99170684814453,29.147863398387827,28.8489346587853,28.969397310699417,134670400
2015-06-03,29.02739906311035,29.210327749922353,28.978320800987998,29.14786512612257,123934000
2015-06-04,28.857866287231445,29.130026398016824,28.7574801423585,28.906944563206427,153800400
2015-06-05,28.699481964111328,28.931489021193066,28.634789717862343,28.889102920151636,142507200
2015-06-08,28.50986099243164,28.82440721657592,28.29347132651328,28.755248984037564,210699200
2015-06-09,28.425085067749023,28.572319885753103,28.02353881333458,28.26446588519156,224301600
2015-06-10,28.75078773498535,28.853403471979494,28.521012017263367,28.53662767749891,156349200
2015-06-11,28.68608856201172,29.040787815926894,28.66154942724008,28.81770601035133,141563600
