Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Middle
2015-02-20,28.768922805786133,28.768922805786133,28.44680040985868,28.57342633827766,195793600,78.73714258643352,1.052511917798526,0.9063665034647336,29.422546727388358,24.180034296781564,26.80129051208496
2015-02-23,29.546464920043945,29.546464920043945,28.804471802520936,28.88444733188144,283896400,82.37914195562561,1.1207441678064676,0.9492420363330805,29.771367354140047,24.285832314744233,27.02859983444214
2015-02-24,29.362085342407227,29.67976723388688,29.1399314061949,29.53314482243473,276912400,78.92678091111624,1.1467221276558384,0.9887380545976321,30.006240653380182,24.48448391021845,27.245362281799316
2015-02-25,28.611188888549805,29.235443968047832,28.46901057982743,29.22655591699116,298846800,66.67226705993656,1.0941065998494146,1.0098117636479886,29.893473488925164,25.04331411636048,27.468393802642822
2015-02-26,28.973312377929688,29.073280958926343,28.12690652779856,28.611200421862183,365150000,69.15917129883466,1.0693025005801076,1.0217099110344123,29.97620799619297,25.30632450502773,27.64126625061035
2015-02-27,28.537885665893555,29.006630434896262,28.4890115466763,28.880001110615524,248059200,63.065382744121784,1.0029484115818406,1.0179576111438982,30.034927346127326,25.470367262942496,27.75264730453491
2015-03-02,28.67784118652344,28.942204824251785,28.50234112733344,28.713386617938777,192386800,64.15854073290387,0.950696521145332,1.004505393144185,30.043493938169103,25.737061786928553,27.890277862548828
2015-03-03,28.737829208374023,28.77337464662942,28.45569280064609,28.648969002535093,151265200,64.64160077547736,0.9037096512228118,0.9843462447599103,30.059240439914028,25.970046707607942,28.014643573760985
2015-03-04,28.55566024780273,28.78225817044977,28.506789509388117,28.680069276765423,126665200,61.91268824184734,0.8420658941584804,0.9558901746396244,30.018242982440597,26.241116186565748,28.129679584503172
2015-03-05,28.08247375488281,28.602313038496664,27.93807338891241,28.564547284367386,226068400,55.37352301457038,0.746426240109809,0.9139973877336613,29.9374399908323,26.48453609864524,28.21098804473877
2015-03-06,28.124675750732425,28.74004114058892,28.04914425882988,28.524551645020985,291368400,55.82168716175771,0.6663551462635589,0.864468939439641,29.85654360912766,26.713386086001737,28.284964847564698
2015-03-09,28.244644165039062,28.784479856085543,27.78256368790519,28.42681027882651,354114000,57.139401730770444,0.6055977223541937,0.8126946960225515,29.695958070382027,27.056359739676566,28.376158905029296
2015-03-10,27.660377502441406,28.26241425789635,27.50264846568969,28.08247017418936,275426400,49.40984506901122,0.5044861866925778,0.7510529941565569,29.52453865292606,27.334191091031457,28.42936487197876
2015-03-11,27.156082153320312,27.718131039929048,27.127202767233783,27.71368870933848,275756000,43.890946840403636,0.37928992792019756,0.6767003809092851,29.515328707260462,27.348287473159463,28.431808090209962
2015-03-12,27.64704704284668,27.74701729622156,27.02057322898196,27.17163792072449,193450800,49.77296778896315,0.31604458898188525,0.6045692225238052,29.52342918592616,27.33063403886632,28.42703161239624
2015-03-13,27.45599365234375,27.858093275490027,27.23161948299128,27.635939424321684,207309200,47.67835437114141,0.24765102346039214,0.5331855827111226,29.563213694245704,27.227090680449123,28.395152187347414
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.52042073270001,143497200,51.17745866120959,0.21534575755453744,0.4696176176798056,29.570625957529128,27.172359195669113,28.37149257659912
2015-03-17,28.222431182861328,28.284634002627094,27.91363740266719,27.969175876729444,204092400,56.04264705360008,0.22461992684475618,0.42061807951279573,29.563515767015037,27.16191891773838,28.36271734237671
2015-03-18,28.540102005004883,28.69338868574217,28.073579314164338,28.213535612946757,261083600,59.04939763367522,0.254667504814698,0.3874279645731762,29.558826436652037,27.16105404888263,28.359940242767333
2015-03-19,28.324617385864254,28.71338664410161,28.30240233865916,28.60230971317665,183238000,56.239250688820434,0.25811720449144104,0.3615658125568292,29.545614027491382,27.15316202689094,28.34938802719116
